"","ID_point","ID_carre","altitude","NDVI_mean_250","NDVI_var_250","CLC_250","CLC_500","Contains_Water_250","Contains_Forest_250","Contains_Urban_250","Contains_Agri_250","Temp_range","Precip","Dist_1_bat","Bt_v_250","Bt_v_500","Dist_1_bat_log","Bt_v_250_quart","Bt_v_500_quart"
"363","081188P02",81188,-0.606435758779437,0.951023105518842,-0.846854462127289,"Agriculture","Agriculture","0","1","0","1",-0.33664013600335,-0.00930308357313935,42.6274856023523,9918.30499998154,11739.9149999537,-0.94956470107532,"3","2"
"364","081188P03",81188,-0.609637603129273,0.630395867620705,-0.807020574118148,"Agriculture","Agriculture","0","0","0","1",-0.33664013600335,-0.00930308357313935,210.397832415599,1959.10133092087,11739.9149999537,0.144594650043712,"1","2"
"365","081188P04",81188,-0.625646824878452,0.933346296344789,-0.863546092015643,"Agriculture","Agriculture","0","0","0","1",-0.327906550228622,-0.0864983621500022,49.2849203627735,9367.60085390338,11739.9149999537,-0.850107687564512,"3","2"
"366","081188P05",81188,-0.532793338733213,0.442399626644211,-0.757027036850147,"Agriculture","Agriculture","0","1","0","1",-0.366326616863129,-0.00329421620671461,523.523664739463,0,0,0.769345948793632,"0","0"
"367","081188P06",81188,-0.436738008238138,0.617802059930911,-0.665693346394632,"Agriculture","Agriculture","0","1","0","1",-0.354006765104244,-0.0794654658092497,364.13773442657,0,2845.06499994965,0.520530181888504,"0","1"
"368","081188P07",81188,-0.622444980528616,1.11005358205258,0.777088755565262,"Forest and natural","Forest and natural","0","1","0","1",-0.383804371828196,-0.0321186228694332,493.106910409031,0,3510.16016975703,0.728323579824738,"0","1"
"369","081188P08",81188,-0.443141696937809,0.325852951419914,-0.396134343379879,"Agriculture","Agriculture","0","1","0","1",-0.366326616863129,-0.00329421620671461,790.713764747462,0,0,1.05195196594938,"0","0"
"370","081188P09",81188,-0.423930630838794,1.41244378452836,0.143688151533365,"Forest and natural","Forest and natural","0","1","0","0",-0.366326616863129,-0.00329421620671461,615.281716474158,0,0,0.880028346884174,"0","0"
"371","081188P10",81188,-0.587224692680422,1.44566955206261,1.07540165796062,"Forest and natural","Forest and natural","0","1","0","0",-0.383804371828196,-0.0321186228694332,653.228146496124,0,0,0.921043852123227,"0","0"
"372","090616P01",90616,2.56018830320821,1.23411005004853,0.176159888214042,"Forest and natural","Forest and natural","0","1","0","0",0.0964014815868352,1.44291660214077,1164.97614908609,0,0,1.31753807709727,"0","0"
"373","090616P02",90616,2.56018830320821,1.25116738087348,0.301659693822867,"Forest and natural","Forest and natural","0","1","0","0",0.102020519331449,1.34069874663514,861.325142242188,0,0,1.11057394626787,"0","0"
"374","090616P03",90616,2.56018830320821,1.33038638115715,0.0865782264350284,"Forest and natural","Forest and natural","0","1","0","0",0.0861355684196305,1.27728713695663,526.100907213001,0,0,0.772711557011779,"0","0"
"375","090616P04",90616,2.56018830320821,1.24356020836643,0.456122818079041,"Forest and natural","Forest and natural","0","1","0","0",0.0861355684196305,1.27728713695663,289.658082895123,0,807.799999994342,0.363701233941945,"0","1"
"376","090616P05",90616,2.56018830320821,1.74654455828552,-0.927497428450546,"Forest and natural","Forest and natural","0","1","0","0",0.100898677274,1.25027188434609,367.963506743751,0,417.900000007823,0.527693155089164,"0","1"
"377","090616P06",90616,2.56018830320821,1.73534618899176,-0.862888951155388,"Forest and natural","Forest and natural","0","1","0","0",0.0891147999212411,1.38086891652562,205.639975818039,389.899999986519,389.899999986519,0.128918519251563,"1","1"
"378","090616P07",90616,2.56018830320821,1.0913379355903,0.718002446356086,"Forest and natural","Forest and natural","0","1","0","0",0.0891147999212411,1.38086891652562,816.752857162495,0,0,1.07415760447374,"0","0"
"379","090616P08",90616,2.56018830320821,1.38276263335695,-0.443943657824157,"Forest and natural","Forest and natural","0","1","0","0",0.0891147999212411,1.38086891652562,605.20992803168,0,0,0.868716772942951,"0","0"
"380","090616P09",90616,3.3542457019675,1.2959810891915,-0.451850361936594,"Forest and natural","Forest and natural","0","1","0","0",0.0891147999212411,1.38086891652562,402.258618892887,0,238.949999999721,0.58876554128431,"0","1"
