"","ID_point","ID_carre","nb_sp","altitude","NDVI_mean_250","NDVI_var_250","CLC_250","CLC_500","Contains_Water_250","Contains_Forest_250","Contains_Urban_250","Contains_Agri_250","Temp_range","Precip","Dist_1_bat","Bt_v_250","Bt_v_500","nb_sp_carre","prop_sp","Dist_1_bat_log","Bt_v_250_quart","Bt_v_500_quart"
"7998","640444P08","640444",11,-0.814706922884781,0.721346864404839,-0.955109512406148,"Agriculture","Agriculture","0","0","0","1",-2.67866503441949,2.99284816085202,390.25312673334,0,1815.33500000997,36,0.305555555555556,5.96679557149244,"0","1"
"7999","640444P09","640444",20,-0.674721939578853,0.866531203947646,-1.07740772483314,"Agriculture","Agriculture","0","0","0","1",-2.71807452961787,2.99767544730418,91.1444358559734,13932.7649999727,28775.3249999765,36,0.555555555555556,4.51244545544325,"3","3"
"8000","640444P10","640444",16,-0.712051268460434,0.830079444016055,-0.999375836731367,"Agriculture","Agriculture","0","1","0","1",-2.71807452961787,2.99767544730418,141.768285364058,5859.72745879796,30579.834999957,36,0.444444444444444,4.95419393156573,"2","3"
"8001","640607P01","640607",17,-0.35431186667862,0.56967585585182,-0.868918900975505,"Agriculture","Agriculture","0","1","0","1",-0.865835020355855,1.55123876638476,156.992386129342,2352.60000000708,11483.3350000742,46,0.369565217391304,5.05619730818089,"2","2"
"8002","640607P02","640607",19,-0.463189075916563,1.11263689009072,-1.03043367124263,"Agriculture","Agriculture","0","1","0","1",-0.865835020355855,1.55123876638476,37.7817020507541,3234.25999995321,26995.6450000295,46,0.41304347826087,3.63182491269314,"2","3"
"8003","640607P03","640607",19,-0.519183069238934,0.961626355452865,-0.84395207958017,"Agriculture","Agriculture","0","0","0","1",-0.905244515554238,1.53089547262834,75.7315936020546,5417.24999996857,45823.690000058,46,0.41304347826087,4.32719542611117,"2","3"
"8004","640607P04","640607",19,-0.621838723663281,0.83526244003397,-0.889905199836654,"Agriculture","Agriculture","0","1","0","1",-0.905244515554238,1.54503219510361,41.6894814604836,23617.9000000269,37125.9050000034,46,0.41304347826087,3.73024885383223,"3","3"
"8005","640607P05","640607",12,-0.609395614036087,0.678540556387058,-0.962537943171196,"Agriculture","Agriculture","0","0","0","1",-0.905244515554238,1.49572602443145,164.389043034265,6639.12010003741,85530.6663101153,46,0.260869565217391,5.10223583219092,"2","4"
"8006","640607P06","640607",19,-0.48807529517095,0.506746431004983,-0.866153776940626,"Agriculture","Agriculture","0","0","0","1",-0.826425525157435,1.53917076070366,25.7595963159896,15086.637761119,26995.6450000295,46,0.41304347826087,3.24880723015023,"3","3"
"8007","640607P07","640607",17,-0.528515401459329,0.227820556716216,-0.878789473243178,"Agriculture","Agriculture","0","0","0","1",-0.905244515554238,1.49572602443145,36.6949787184538,70046.381040637,183593.794999481,46,0.369565217391304,3.6026399260392,"4","4"
