"","ACCNIS","BUTBUT","MILMIG","ACCGEN","CIRCYA","ATHNOC","FALSUB","CIRAER","ASIOTU","STRALU","CIRPYG","MILMIL","CIRGAL","FALPER","GYPFUL","FALTIN","PERAPI"
"021384P01",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"021384P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021384P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021384P04",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021384P05",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021384P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"021384P07",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021384P08",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021384P09",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021384P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021506P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021506P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021506P03",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021506P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021506P05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021506P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021506P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021506P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021506P09",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021506P10",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021542P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021542P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021542P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021542P04",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"021542P05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021542P06",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021542P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021542P08",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021542P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021542P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021784P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021784P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021784P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021784P04",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021784P05",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021784P06",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"021784P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"021784P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021784P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021784P10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021791P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021791P02",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021791P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021791P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"021791P05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"021791P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021791P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"021791P08",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021791P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021791P10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"030148P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"030148P02",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"030148P03",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"030148P04",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"030148P05",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"030148P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"030148P07",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"030148P08",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"030148P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"030148P10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"030190P01",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"030190P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"030190P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"030190P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"030190P05",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"030190P06",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"030190P07",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"030190P08",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"030190P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"030190P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"030363P01",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
